name	Email Address	Website	Description	Address	Phone	Fax	800 Number	TDD
Disability Law Center (Utah)	info@disabilitylawcenter.org	http://www.disabilitylawcenter.org	The Disability Law Center (Utah) is a private, non-profit organization designated by the Governor to protect the rights of individuals with disabilities in Utah. Established in 1978, the Disability Law Center (DLC) is dedicated to enforcing and strengthening the laws that protect the rights of people with disabilities in Utah through legal advocacy. The DLC focuses on three long-term goals	205 North 400 WestSalt Lake City, UT 84103 USA	NA	NA	8006629080	8005504182
Ellis-van Creveld Syndrome Foundation	PattiMO44@aol.com	http://www.ellis-vancreveldsyndrome.org/	The Ellis-van Creveld Syndrome Foundation (EVCSG) is an international, self-help organization dedicated to providing information, support, and resources to individuals with Ellis Van Creveld syndrome and their families. Ellis Van Creveld syndrome is a rare genetic disorder characterized by short stature due to abnormal shortness of the arms and legs (short limb dwarfism); a deformity in which the legs are abnormally curved inward and the ankles are widely separated (genu valgum); the presence of extra fingers and/or toes (polydactyly); underdeveloped (dysplastic) fingernails; and/or, in some cases, heart abnormalities (congenital heart defects). The disorder is inherited as an autosomal recessive trait. The Ellis Van Creveld Syndrome Foundation was established in 1997 and currently has approximately 12 members. The group is committed to providing support to parents of children with Ellis-van Creveld syndrome, particularly those with newly diagnosed infants or children; searching for and supporting other affected families; obtaining and disseminating information on the disorder; and providing appropriate referrals. The Ellis-van Creveld Syndrome Foundation also offers networking opportunities including e-mail discussion groups that enable affected families to exchange information and resources.	17 Bridlewood TrailHoneoye Falls, NY 14472 USA	5857371500	NA	NA	NA
Fundacion Distonia (Dystonia)	contacto@distonia.cl	http://www.distonia.cl/	The Fundacion Distonia (Dystonia) is a non-profit organization in Chile dedicated to providing information, support, and resources to individuals affected by dystonia, a group of neuromuscular disorders characterized by abnormal muscle rigidity that results in involuntary muscle spasms, abnormal movement patterns, and/or unusual fixed positioning of affected muscles. Dystonia may involve a particular area of the body (focal dystonia) or may be more generalized. Fundacion Distonia was established in 1997 and currently consists of approximately 145 members. The organization is committed to promoting awareness of dystonia among affected individuals and family members, health care professionals, and the general public; engaging in patient advocacy; and conducting support groups for individuals with dystonia and their family members. Fundacion Distonia also has a program to provide free botulinum toxin therapy to affected individuals who cannot otherwise afford such treatment. During such therapy, minute amounts of a toxin produced by the bacteria Clostridium botulinum (botulinum toxin) are injected directly into affected muscles, causing temporary muscular paralysis, thereby preventing spasms and abnormal contraction associated with dystonia. Fundacion Distonia also has informational brochures, a regular newsletter, and a web site on the Internet. The organization's materials are provided in Spanish and French.	Avda. Irarr�zaval 5185Of 311Santiago,   Chile	5622268874	5622267346	NA	NA
Hereditary Multiple Exostoses Support Group	support@hmesg.org.uk	http://www.hmesg.org.uk	The Hereditary Multiple Exostoses (HME) Support Group is a voluntary, self-help organization in the United Kingdom dedicated to providing information and support to families affected by hereditary multiple exostoses, a rare disorder characterized by multiple bony growths (multiple exostoses) on the surface of various bones of the body. Such bony growths may cause deformities, such as of the shoulder, ankles, ribs and/or wrists. The disorder may be inherited as an autosomal dominant trait. The HME Support Group was established in 1997 and currently has approximately 300 members. The group links families in similar situations and geographical areas; holds regular meetings, publishes a newsletter and has a web site.	PO Box 207Chester le StreetOxford,  DH3 9AR United Kingdom	1204697144	NA	NA	NA
New Zealand Dystonia Patient Network Inc.	info@dystonia.org.nz	http://www.dystonia.org.nz/	The New Zealand Dystonia Patient Network Inc. is a voluntary, non-profit, self-help organization dedicated to linking individuals affected by spasmodic dysphonia. Such networking opportunities enable affected individuals and family members to exchange information, resources, and mutual support. Spasmodic dysphonia is a rare disorder characterized by stuttering, momentary periods of uncontrolled vocal spasms, tightness in the throat, and/or recurrent hoarseness. The most frequent finding associated with spasmodic dysphonia is the occurrence of sudden, momentary lapses or interruptions of vocalization. Spasmodic dysphonia is a form of dystonia, a group of neuromuscular disorders characterized by involuntary muscle spasms. There are two main types of spasmodic dysphonia	P O Box 305 375Triton PlazaNorth Shore,  757 New Zealand	6494821567	6494821284	NA	NA
Vermont Legal Aid	jdickson@vtlegalaid.org	http://www.vtlegalaid.org/disability-law-project/	The Vermont Legal Aid is a non-profit advocacy organization dedicated to ensuring that individuals with disabilities in the State of Vermont are free from abuse, neglect, or exploitation; are free from discrimination in housing, employment, and public accommodations; have ready access to government services; and receive appropriate educational services during school age. Established in 1976, the Project also works to ensure that eligible adults and children receive appropriate benefits from the Supplemental Security Income (SSI) program, medical coverage through the Medicaid program, and vocational rehabilitation services. Vermont Legal Aid fulfills its objectives by providing legal assistance without charge to people with disabilities in Vermont concerning such matters as abuse and neglect, special education, guardianship, SSI and Medicaid, accessibility, discrimination, and access to assistive technology; providing training in the legal rights of individuals with disabilities; and offering referral services to affected individuals and family members, advocacy groups, service providers, and the general public. Vermont Legal Aid also provides educational materials including brochures describing its various services.	264 North Winooski AvenueBurlington, VT 5402 	NA	NA	8008892047	NA
Mental Health America of Illinois	shcmhai@aol.com	http://www.mhai.org	The mental health america of Illinois (MHAI) has works to promote mental health, prevent mental illnesses and improve the care and treatment of persons suffering from mental and emotional disorders. Their three main focuses are to advocate, to educate, and to inform. The MHAI maintains a number of initiatives and services to help carry out their mission to promote mental health, prevent mental illnesses and improve care and treatment for persons suffering from mental and emotional disorders.	70 E. Lake Street, Suite 900Chicago, IL 60601 	3123689070	NA	NA	NA
National Fetal AntiConvulsant Syndrome Association	emma@facsa.org.uk	http://facsa.org.uk/	The National Fetal Anticonvulsant Syndrome Association provides advice and support to families and health workers involved with children who have been affected by anticonvulsant drugs prescribed for their mothers during pregnancy. The major problems encountered include spina bifida, cleft palate, congenital heart disease, kidney abnormalities, and limb defects. There is also an increased incidence of minor birth defects, including learning problems and speech delay. The association works to increase awareness of these various problems, to put families in touch with each other, to encourage families in their quest for a firm diagnosis, to ensure that future mothers are made aware of risks, and to promote and participate in research.	P.O. Box 7416Annan,  DG12 5ET United Kingdom	1461206870	1461206870	NA	NA
NVACP (Dutch Federation of Addison and Cushing Patients and CAH and Conn)	bestuur@nvacp.nl	http://www.nvacp.nl	The association NVACP aims to bring in contact everybody who directly or indirectly suffers from Adrenal gland illnesses to provide them with information and to optimally serve their interests Adrenal gland illnesses include multiple diseases/ailments, that have to do with the adrenal glands, either directly or indirectly. Diseases such as Addison’s disease, Cushing’s Syndrome, CAH and Conn’s disease. In most cases Adrenal gland illnesses are chronic diseases, which means that healing will not, or only partially be possible. Helping and supporting each other using knowledge and experience can improve the quality of living and for that we offer peer contact and forums on our website. Furthermore, we offer information and support research in this field. On top of direct care of your interests as a patient, we also look at the illness-transcending aspects of chronic and rare diseases. Of course we do not only focus on the patient, but also his or her social environment. Aspects such as the effects the disease has on a partner, work and sports also receive attention	Postbus 174Nijkerk,  3860 AD The Netherlands	31332471460	31153699339	8006822765	NA
Disability Rights North Carolina	info@disabilityrightsnc.org	http://www.disabilityrightsnc.org/	The Disability Rights North Carolina is part of a nationwide system of civil rights protection and advocacy agencies that are committed to serving citizens with disabilities. Established in 1977, the DRNC provides advocacy services to any citizen of North Carolina who has a mental or physical condition that substantially limits at least one major life activity. A volunteer board appointed by state government leaders guides a division of the North Carolina Department of Administration, the DRNC. All board members bring personal insight and experience concerning the needs of individuals with disabilities either through having experienced a disability themselves or having a close family member with a disability. The agency provides information about laws that protect the rights of individuals with disabilities and offers advocacy services with client advocates who are experienced negotiators and knowledgeable about state and federal laws concerning the rights of people with disabilities. The agency may also help provide legal representation when working cannot solve problems with an advocate alone. In addition, the DRNC offers technical assistance to legislators and rule making bodies of government to ensure that individuals with disabilities receive equal opportunities in every aspect of community and institutional life. The agency also provides informational brochures and has a web site on the Internet.	2626 Glenwood Avenue Suite 550Raleigh, NC 27608 	9198562195	9198562244	8772354210	9197339250
Montana Advocacy Program	advocate@disabilityrightsmt.org	http://www.disabilityrightsmt.org/janda/	The Montana Advocacy Program (MAP) is a non-profit organization dedicated to protecting and advocating for the human and legal rights of Montanans with mental and physical disabilities while advancing dignity, equality, and self-determination. MAP administers five protection and advocacy programs, all of which are established under federal law. The "Assistive Technology (AT)" program provides assistance to individuals with disabilities in obtaining AT devices or services; in addition, the AT program provides information, referral, negotiation, mediation, and legal services as well as training for individuals and groups in self-advocacy skills. MAP's "Protection and Advocacy for Individuals with Mental Illness (PAIMI)" program advocates for the statutory and constitutional rights of individuals diagnosed with a mental illness; in addition, the PAIMI program investigates reports of abuse and neglect of individuals with mental illness, monitors public and private psychiatric hospitals and facilities in Montana, and provides information and referral services. The "Client and Assistance Program (CAP)" identifies, explains, and resolves problems encountered with the state rehabilitation program. CAP also provides information and referral as well as advice concerning rights and responsibilities under the Rehab act. The "Protection and Advocacy for Individuals with a Developmental Disability (PADD)" program helps affected Montanans to exercise their full rights as citizens; in addition, the PADD program provides information and referral services, representation by professional advocates, consultation and legal representation, and training and publications concerning the rights of individuals with developmental disabilities. The "Protection and Advocacy for Individual Rights (PAIR)" program emphasizes the Americans with Disabilities Act (ADA) employment and access issues. The PAIR program provides information and referral services as well as direct legal representation and technical assistance in the form of mediation, negotiation, and other information methods of dispute resolution. The Montana Advocacy Program also offers an informational brochure series and has a web site on the Internet.	1022 Chestnut StreetHelena, MT 59601 	4064492344	4064492418	8002454743	4064492344
European Organization for Research and Treatment of Cancer	francoise.meunier@eortc.be	http://www.eortc.org/	The European Organization for Research and Treatment of Cancer (EORTC) is an international, non-profit, research organization dedicated to conducting, developing, coordinating, and stimulating basic and clinical research on cancer and related problems. The EORTC was established in 1962 by a group of oncologists who felt that extensive, comprehensive research in such fields may often be beyond the means of individual European laboratories and hospitals, and could best be accomplished through multidisciplinary, multinational efforts. The EORTC's primary objective is to raise the standard of cancer treatment through the development of new drugs and new regimens. The EORTC consists of a pan-European network involving more than 2,500 clinical investigators and scientists in more than 350 hospitals and research institutions in over 30 countries.	Avenue Emmanuel Mounier 83/11Brussel,  1200 Belgium	3227741611	3227722004	NA	NA
FG Syndrome Family Alliance	info@fg-syndrome.org	http://www.fgsyndrome.org/	The FG Syndrome Family Alliance (FGFA) was established in 1997 as a support organization for families of children with FG syndrome, a rare genetic disorder characterized by varying degrees of mental retardation, delayed motor development, abnormally diminished muscle tone (hypotonia), characteristic abnormalities of the head and facial (craniofacial) area, respiratory problems, visual and/or hearing impairment, and/or gastrointestinal, skeletal, heart, and/or other abnormalities. Associated symptoms and findings may vary greatly in range and severity from case to case. Mental retardation is not an obligatory finding in the FG syndrome, and some individuals with the FG syndrome are gifted. Because FG syndrome is inherited as an x-linked recessive trait, it is usually fully expressed in males only. The FG Syndrome Family Alliance currently serves over 200 families around the world. The alliance is dedicated to providing information and support to families of children with FG syndrome; offering networking services including an online mailing list (listserv) and regional coordinators, enabling parents to exchange mutual support, information, and resources; and assisting researchers in the development of an international registry for FG syndrome. The alliance assists researchers by helping them access candidates for studies, including recent studies on gene mapping and behavioral phenotype. It is currently working with its medical advisors to create standards of care document for pediatricians caring for patients with the FG syndrome. The organization hosts an international medical and family conference every three years.	922 NW Circle BlvdSuite 160 PMB 290Corvallis, OR 97330 	6175779050	NA	NA	NA
New Jersey Self-Help Clearinghouse	abroderick@saintclares.org	http://www.njgroups.org/	The New Jersey Self-Help Clearinghouse is a non-profit organization dedicated to helping individuals locate and form mutual aid self-help groups for a wide variety of illnesses, disorders, disabilities, bereavement situations, and other stressful life problems. Established in 1980, the New Jersey Self-Help Clearinghouse was the first statewide, computerized self-help clearinghouse in the United States. The clearinghouse offers information about and referrals to thousands of self-help group meetings throughout New Jersey as well as to hundreds of individuals who are interested in starting new groups in their communities. Through its consultants, the clearinghouse also assists in the creation of new self-help groups. In addition, the New Jersey Self-Help Clearinghouse offers free consultations to existing self-help groups; sponsors conferences as well as problem-focused and regional training workshops; and offers graduate and undergraduate placements for students and interns as well as volunteer positions for people of all levels of education and experience. The Clearinghouse also provides a variety of informational materials including brochures; specialized manuals on self-help; various how-to materials on starting different self-help groups; a 600-page state directory of groups; and a semi-annual newsletter that includes articles of interest to the self-help and human service communities.	375 East McFarlan StreetDover, NJ 7801 USA	9739891122	9739891159	8003676274	NA
Alström Syndrome International	info@alstrom.org	http://www.alstrom.org	The Alström Syndrome International (ASI) is a non-profit organization for individuals with Alström syndrome, their families and friends, healthcare professionals, researchers, and all individuals whose lives have been touched by this rare disorder. Alström syndrome is a genetic disorder that is slowly progressive, affecting multiple organ systems. Affected individuals experience progressive degeneration of the retina, resulting in childhood blindness; mild to moderate hearing impairment; glucose intolerance (non-insulin dependent diabetes mellitus) that develops in early adulthood; childhood obesity that often moderates to high-normal weight in adulthood; progressive kidney failure; congestive heart failure that becomes apparent during infancy, adolescence, or adulthood; and/or other symptoms and findings. Alström Syndrome International was established by six affected families in 1995 (as the Society for Alström Syndrome Families, SASF) and currently consists of approximately 200 members. ASI's mission is "to provide support, information, and coordination world-wide to families and professionals in order to treat and cure Alström syndrome." The organization is committed to providing information, support, resources, and networking opportunities to affected individuals and family members; and promoting and encouraging genetic and clinical research with the ultimate hope of developing a therapy for Alstrom syndrome and related disorders.	14 Whitney Farm RoadMount Desert, ME 04660 	NA	NA	8003713628	NA
Sleep/Wake Disorders Association of Toronto	swda@bigfoot.com	http://www.sleepwaketoronto.org	The Sleep/Wake Disorders Association of Toronto is a national, non-profit, self-help organization of volunteers dedicated to providing information, practical support, and resources to Canadians with sleep/wake disorders. Such disorders include difficulties falling or staying asleep (insomnia); sleep apnea, a disorder in which breathing periodically ceases during sleep; narcolepsy, which is characterized by excessive daytime sleepiness, recurrent episodes of sleep during the day, and, in some cases, sudden loss of muscle tone (hypotonia) without loss of consciousness (cataplexy); and restless legs syndrome, a disorder characterized by unusual, unpleasant sensations deep in the legs, an overwhelming desire to move the legs to relieve such sensations, motor restlessness, and occurrence of such symptoms most frequently during the evening or early part of the night and while at rest. Established in 1981 and currently consisting of approximately 1,000 members, Sleep/Wake Disorders Canada has self-help chapters and contact representatives across Canada to provide local access for affected individuals and family members who seek information and peer support. The organization is committed to providing accurate and timely information on sleep/wake disorders to affected individuals and healthcare professionals; promoting awareness among affected families, medical professionals, and the general public; and promoting and supporting research on the underlying causes of such disorders.	c/o 2950 Bayview AvenueOntario,  M2N 5K6 Canada	9056695644	NA	NA	NA
Osteoporosis 2000	osteoporosis2000@btconnect.com	http://www.osteoporosis2000.org/	The Osteoporosis 2000 is a voluntary support organization in the United Kingdom dedicated to providing emotional support to individuals diagnosed with osteoporosis, family members, and/or other caregivers. Osteoporosis is a progressive bone disorder characterized by abnormal loss of bone density and generalized weakening of the skeleton, causing bone to become brittle and easily fractured. Associated symptoms and findings may include back and joint pain, abnormal curvature of the spine and associated loss of height (stature), and pathologic fractures, particularly of the wrists, hips, and spine. Females are particularly prone to osteoporosis after menopause because the ovaries cease producing estrogen, a hormone that helps to maintain bone mass. However, osteoporosis may also occur in males, particularly those over 60 years of age; in addition, the disorder may affect adults under the age of 60 years, adolescents, or children. In some cases, osteoporosis may occur due to or in association with certain hormonal diseases, long-term steroid therapy, prolonged immobility, and/or other conditions or factors. Osteoporosis 2000 was established in 1993 and currently has approximately 350 members. The organization is dedicated to offering information, assistance, and practical support to affected individuals and caregivers; promoting awareness and understanding of osteoporosis among health care professionals, individuals with or at risk for osteoporosis, and the general public; promoting the exchange of ideas and information about osteoporosis among health care professionals of different disciplines; and providing high quality educational support for general practitioners. Osteoporosis 2000 also is committed to improving the provision of services and support for affected individuals and those at risk for osteoporosis; offering Osteoporosis 2000 approved mobility classes; and providing a confidential telephone help line that puts newly diagnosed individuals in touch with other affected individuals and provides easy access to medically approved literature on osteoporosis. The organization also offers regular support meetings; has a drop-in facility run by volunteers with osteoporosis who provide emotional support for affected individuals and caregivers; holds educational workshops for the general public; and has a reference library of literature. The organization's educational materials include a pamphlet series in lay terminology discussing such topics as the role of calcium in osteoporosis, bone mineral density scanning, hormone replacement therapy, pain management, and exercise.	Learoyd WayHillsborough Barracks Shopping CentreSheffield,  S6 2LR United Kingdom	1142344433	1142634420	NA	NA
Microcephaly Support Group	admin@microcephaly.co.uk	http://www.microcephaly.co.uk/	The Microcephaly Support Group (MSG) is an international, voluntary health organization in the United Kingdom dedicated to providing information, support, and networking opportunities to families of children with microcephaly, a condition characterized by abnormal smallness of the head. Microcephaly may be apparent at birth or within the first months or years of life. The effects of microcephaly may vary greatly from case to case. Such effects may include mild to profound mental retardation, developmental delays, feeding difficulties, visual impairment, and episodes of uncontrolled electrical disturbances in the brain (seizures). Microcephaly may occur as an isolated condition or due to, or in association with, many underlying disorders. Established in 1992, the Microcephaly Support Group currently has over 400 members nationwide; in addition, the group has contact with many affected families overseas. It is committed to providing ongoing information and support to affected families; promoting and supporting research; and providing networking opportunities that enable affected families to exchange mutual support, information, and resources. The group also has a sibling pen pal club and provides a variety of educational materials including an information sheet and a regular newsletter.	PO Box 519Pinner,  HA5 9DR United Kingdom	1638552689	NA	NA	NA
Cystic Fibrosis Research, Inc.	cfri@cfri.org	http://www.cfri.org	The Cystic Fibrosis Research, Inc., (CFRI) is an independent, non-profit, voluntary health organization dedicated to offering emotional and educational support to families living with cystic fibrosis (CF). Cystic fibrosis is a genetic disorder that affects many exocrine glands of the body including the sweat glands, salivary glands, and glands within the pancreas and respiratory system. Associated characteristics include susceptibility to repeated lung infections, an impaired ability to absorb fats and other nutrients from food, abnormally salty sweat containing elevated levels of chloride and sodium, and/or other abnormalities. Cystic Fibrosis Research, Inc., is committed to providing a variety of educational and support programs for affected families including mail and telephone referrals and support services, regular membership meetings, parent support groups, CF support groups for ages 13 to adult, an annual conference, and a family retreat. The organization also funds cystic fibrosis research at major research centers in the U.S., supports ongoing gene therapy research, and offers community educational programs.	Bayside Business Plaza2670 Bayshore ParkwayMountain View, CA 94043 USA	6504049975	6504049981	NA	NA
Lymphovenous Association of Ontario	info@lymphontario.ca	http://www.lymphontario.org	The Lymphovenous Association of Ontario is a voluntary, non-profit health organization that was established in 1996 to develop a networking group for affected individuals, family members and healthcare professionals in Ontario with an interest in lymphovenous disorders. The lymphatic system includes a complex network of vessels that drain lymph from various areas of the body into the bloodstream. (Lymph is a bodily fluid that contains certain white blood cells [lymphocytes], fats, and proteins and functions as an essential part of the immune system.) In some cases, lymphatic malformations may be present at birth; in other cases, obstruction of normal lymph flow may occur secondary to certain inflammatory conditions, infectious diseases, benign or malignant growths, surgical procedures, radiation therapy, and/or other factors. The Lymphovenous Association of Ontario is committed to providing information and support to affected individuals and family members; raising public and professional awareness of lymphovenous disorders, their causes, and treatments; and supporting research toward improved treatment methods and possible cures. The association is also dedicated to providing networking opportunities for affected individuals and families, enabling the exchange of mutual support, information, and resources. In addition, the association engages in patient advocacy, has a directory, provides appropriate referrals, and conducts an annual general meeting and conference.	4161 Dundas Street WestOntario,  M8X 1Y2 Canada	4164102250	4162367604	8777230033	NA
PMP Pals’ Network	info@pmppals.net	http://pmppals.net/	The PMP (pseudomyxoma peritonei) Pals' Network is a non-profit, all volunteer, worldwide resource and referral service for patients, their family caregivers, and healthcare providers affected by rare cancers originating with the appendix, including mucinous adenocarcinoma, peritoneal carcinomatosis, signet ring cell, cancers affecting the peritoneum and the digestive system, mesothelioma, and pseudomyxoma peritonei. Pseudomyxoma peritonei is a rare malignancy characterized by the progressive accumulation of mucus-secreting (mucinous) tumor cells within the abdomen and pelvis. PMP develops after a small growth (polyp) located within the appendix bursts through the wall of the appendix and spreads mucus-producing tumor cells throughout surrounding surfaces (e.g., the membrane lining the abdominal cavity [peritoneum]). As mucinous tumor cells accumulate, the abdominal area becomes swollen and digestive function becomes impaired. Pseudomyxoma peritonei develops at a variable rate, but may grow at a slower rate (indolent) than other malignancies within the abdomen. PMP Pals assists and serves newly diagnosed patients, and their caregivers, as a source of information and referrals to physicians experienced in the treatment of pseudomyxoma peritonei, peritoneal carcinomatosis and all mucin producing cancers originating from the appendix. Though PMP Pals do not endorse any particular physician or medical facility, their database includes an international listing of surgeons, oncologists and pathologists experienced in treating pseudomyxoma peritonei and related diseases. PMP Pals shares resources and information to assist patients in living well with the challenges of pseudomyxoma peritonei, and they provide assistance to patients and their family caregivers in preparing for, and recuperating from, surgery and/or chemotherapy. They promote networking opportunities by providing to subscribing members the Pal Mentoring Program which links patients, and their family caregivers, with specific Pal Mentors, based on each patient’s diagnosis, gender, surgeon, and special needs. PMP Pals also offer a subscription to monthly PMP Pals newsletters and weekly bulletins, a series of three PMP Pals’ Network Handbooks, participation in more than two dozen specialized Pal Resource Groups, participation in their annual international conference, and use of their extensive website.	225 Crossroads Blvd.Suite 390Carmel, CA 93923 	408-909-7257	NA	NA	NA
Triple X Support Group	helenclements@hotmail.com	NA	The Triple X Support Group is a voluntary, self-help organization dedicated to providing support, resources, and informational materials to parents of children with triple X syndrome. Also known as trisomy X or 47, XXX syndrome, triple X syndrome is a chromosomal disorder that affects females. Females normally have two X chromosomes; however, females with triple X syndrome carry three X chromosomes in cells of the body. Associated symptoms and findings may vary greatly from case to case. Whereas some affected females have very few associated symptoms, others may have physical abnormalities, delayed speech and motor skills, learning disabilities, and/or behavioral abnormalities. The Triple X Support Group was established in 1997 and currently consists of 290 families. The group provides reprints from the medical literature concerning triple X syndrome as well as brochures that describe the chromosomal disorder in lay terminology. The organization also puts affected families in touch with one another, promoting the exchange of mutual support, experiences, information, and resources.	32 Francemary RoadBrockleyLondon,  SE4 1JS United Kingdom	2086909445	NA	NA	NA
CMT United Kingdom	enquiries@cmt.org.uk	http://www.cmt.org.uk	The CMT United Kingdom is a support group for people with Charcot-Marie-Tooth disease, also known as hereditary motor and sensory neuropathy or peroneal muscular atrophy. It is primarily concerned with people affected with the condition in the UK and Europe. The organization produces a quarterly newsletter for members, has an annual conference, and makes leaflets and publications available for members.	98 BroadwaySouthbourneBournemouth,  BH6 4EH United Kingdom	8006526316	NA	1202432048	NA
International Glaucoma Association	info@iga.org.uk	http://www.iga.org.uk	The International Glaucoma Association (IGA) is an international voluntary organization in the United Kingdom dedicated to offering advice and support to individuals with glaucoma, increasing public awareness, campaigning for improved services for affected individuals, and supporting clinical research. The association's aim is to prevent the loss of sight from glaucoma throughout the world through establishment of an international membership and cooperation with similar societies that have the same objectives. Glaucoma is a group of eye disorders in which abnormally increased pressure of the fluid of the eye damages the optic nerve, resulting in visual impairment. The optic nerve transmits visual impulses from the nerve-rich, light-sensitive membrane lining the eyes (retinas) to the brain. The International Glaucoma Association was established in 1974 and currently has over 15,000 members in approximately 60 countries. The association campaigns for improved detection methods for those at risk for glaucoma; responds to thousands of information requests each year via phone, fax, mail, and e-mail; provides networking opportunities for affected individuals and family members; and conducts regular discussion forums.	Woodcote House15A Highpoint Business VillageKent,  TN24 8DH United Kingdom	441233648164	1233648179	NA	NA
National Cervical Cancer Coalition	nccc@ashasexualhealth.org	http://www.nccc-online.org	The National Cervical Cancer Coalition (NCCC) is a voluntary, non-profit organization dedicated to educating the public and healthcare professionals about issues related to cervical cancer. (The cervix is the neck of the uterus or the lower portion of the uterus that extends into the vagina.) Prior to the development of cancer, abnormal changes occur within cells on the surface of the cervix (cervical dysplasia) that may be detected by a cervical smear test known as a "Pap smear." Abnormal cervical smears indicate the need for further investigation and possible treatment. The NCCC serves as an independent coalition of women's groups, affected individuals and family members, healthcare providers, companies, and associations. Established in 1997 and currently consisting of approximately 800 members, the coalition is dedicated to enhancing awareness of the traditional Pap smear and new technologies, treatments for cervical dysplasia and cancer, and reimbursement issues concerning cervical cancer screening.	6520 Platt Ave. #693West Hills, CA 91307 USA	8189924242	8189924178	8006855531	NA
Alström Syndrome UK	info@alstrom.org.uk	http://www.Alstrom.org.uk	The Alström Syndrome UK (ASUK) is an international voluntary health organization dedicated to providing information, resources, and support to individuals affected by Alström syndrome, family members, and healthcare professionals. Alström syndrome is a rare genetic disorder characterized by progressive degeneration of the nerve-rich membrane lining the eyes (retinitis pigmentosa), resulting in early visual loss; mild to moderate deafness; glucose intolerance (non-insulin dependent diabetes mellitus) that develops in early adulthood; moderate obesity; progressive kidney failure; and/or other symptoms and findings. Alström Syndrome UK was established in 1998 by the parents of two children with the disorder. The organization, which is affiliated with the Society of Alström Syndrome Families (SASF International Research Group), is committed to raising public and professional awareness of Alström syndrome, promoting research into the cause of the disorder, and engaging in patient advocacy. In addition, Alström Syndrome UK conducts family conferences and offers other networking opportunities that enable affected families to exchange information, support, and resources. The organization's educational materials include an information packet, a bibliography of medical journal articles, and a regular newsletter.	31 Shearwater DriveTorquay, Devon TQ2 7TL United Kingdom	01709 210151	NA	NA	NA
Moebius Syndrome Association	davebatenburg@sympatico.ca	http://www.moebiussyndrome.ca	The Moebius Syndrome Association is an international, non-profit organization in Canada dedicated to providing information, assistance, and support to affected families. Moebius syndrome is an extremely rare developmental disorder characterized by incomplete development of certain nerves arising from the brain (sixth and seventh cranial nerves), resulting in eye muscle and facial paralysis and/or other symptoms and findings. The disorder is thought to be genetic and is apparent at birth (congenital). The Moebius Syndrome Association was established in 1997 and currently consists of approximately 900 affected families worldwide. The association is committed to increasing public and professional awareness of Moebius syndrome, promoting research, engaging in-patient and professional education, and offering networking opportunities to affected families. In addition, the association links individuals and families to support groups throughout the world, engages in lobbying, has a directory, and provides a variety of educational materials including pamphlets, reports, and a regular newsletter and has a web site.	5011 Hillside DriveBeamsvilleOntario,  L0R 1B7 Canada	9055630938	NA	NA	NA
Project Assist (Nevada)	NA	http://dhhs.nv.gov/Programs/IDEA/ProjectASSIST/	The Project Assist is an information and referral service for residents of Nevada looking for resources regarding disability. Project Assist maintains a computer database of both Nevada and nationwide organizations that serve children and youths with disabilities. Project Assist staff will conduct a search through the database that is tailored to the unique needs of the caller to yield a printout describing each selected resource. There is no cost to the individual. The goal of Project Assist is to collect and share accurate information from all providers who serve people with disabilities. Project Assist produces a wide variety of educational materials including brochures, audio-visual aids, reports, and a directory.	3427 Goni Rd, Suite 108Carson City, NV 89706 	7026882819	7026882558	8005220066	7026882818
Kabuki Syndrome Network	margot@kabukisyndrome.com	http://www.kabukisyndrome.com	The Kabuki Syndrome Network is a voluntary, non-profit organization whose mission is to act as a source of information on Kabuki syndrome and to help families support each other by sharing their experiences. Kabuki syndrome is a rare disorder characterized by a wide spectrum of physical findings and symptoms including characteristic facial features, mild to moderate intellectual impairment, diminished muscle tone (hypotonia), skeletal abnormalities, and/or congenital heart defects. Physical findings and symptoms vary greatly from case to case. KSN provides a bi-annual newsletter to its members. The network compiles and maintains a family directory of those affected by Kabuki syndrome. It also provides information on Kabuki syndrome, a list of references for further information, and a list that defines the various medical terminology associated with Kabuki syndrome. A newsletter (The Kabuki Journal) is mailed to KSN's members twice a year.	8060 Struthers CrescentReginaSaskatchewan,  S4Y 1J3 Canada	3065438715	NA	NA	NA
Huntington’s Disease Association of New Zealand	NA	http://www.huntingtons.org.nz/	The Huntington's Disease Association (Christchurch), Inc., is an non-profit, voluntary organization dedicated to supporting families with Huntington's disease in all ways possible. Huntington's disease is an inherited degenerative brain disorder characterized by irregular, involuntary movements (chorea); abnormal gait; slurred speech; and progressive disorientation and loss of intellectual function (dementia). Established in 1981 in New Zealand, the association is committed to educating professionals, supplying information to rest homes and hospitals, and advocating on behalf of individuals with Huntington's disease and their families. The association also hopes to set up supportive networks throughout New Zealand so that families affected by this disorder can meet with one another and have access to medical personnel who have a familiarity with Huntington's disease. The association produces a newsletter, brochures, and audio-visual aids.	Christchurch Community House141 Hereford StChristchurch,   New Zealand	33125612	NA	NA	NA
